body_temperature,breed_type,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,faecal_consistency,health_status
Normal,Cross Breed,Low,High,High,Short,Moderate,Low,Moderate,Moderate,Moderate,Moderate,extremely firm,unhealthy
Normal,Normal Breed,High,High,High,Moderate,Low,Moderate,Moderate,Moderate,Moderate,High,ideal,healthy
Normal,Cross Breed,Low,High,High,Short,Moderate,High,Moderate,Moderate,Moderate,Low,ideal,healthy
High,Normal Breed,High,Moderate,High,Short,High,High,Moderate,Moderate,Moderate,Low,Black faece,unhealthy
High,Normal Breed,High,High,Moderate,Moderate,Low,High,Moderate,Moderate,Moderate,High,ideal,healthy
High,Cross Breed,Low,Low,Low,Short,Very Low,Moderate,Moderate,Moderate,Moderate,Very Low,Fresh blood in faeces,unhealthy
Normal,Normal Breed,High,Moderate,High,Short,Moderate,Moderate,Moderate,Moderate,Moderate,High,ideal,healthy
Normal,Normal Breed,High,Moderate,High,Short,Low,Low,Moderate,Moderate,Moderate,Low,ideal,healthy
Normal,Normal Breed,High,Moderate,High,Short,High,Moderate,High,Moderate,High,High,ideal,healthy
Normal,Normal Breed,High,High,High,Short,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,ideal,healthy
Normal,Normal Breed,High,High,High,Short,Very Low,High,Low,Moderate,Low,Low,ideal,healthy
Normal,Normal Breed,High,Moderate,High,Moderate,High,Low,High,Moderate,Moderate,Moderate,ideal,healthy
Normal,Normal Breed,High,High,High,Short,Low,High,Moderate,Moderate,Low,Low,ideal,healthy
Normal,Normal Breed,High,Moderate,Moderate,Very Short,Moderate,Moderate,Moderate,Moderate,Moderate,Low,ideal,healthy
Normal,Normal Breed,High,High,High,Short,Moderate,High,Moderate,Moderate,Moderate,Moderate,ideal,healthy
Normal,Normal Breed,Low,Moderate,High,Short,Very Low,Moderate,Low,Moderate,Low,Very Low,ideal,healthy
